,Year Built,Square Footage,lot sqft,Bedrooms,Bathrooms,Stories,List Price,Sold Price,List Date,Sold Date,Postal Code,City,lon,lat,State,Property Type,Tags,County
0,,,7501.0,,0.0,,125000.0,117500.0,2023-03-06T18:20:22Z,2023-08-24,30310,Atlanta,-84.43222,33.726784,GA,land,"city_view, view, floor_plan",
1,1983.0,1904.0,1917.0,3.0,3.0,2.0,485000.0,509000.0,2023-07-13T18:52:41Z,2023-08-23,30338,Atlanta,-84.348339,33.938835,GA,townhomes,"central_air, community_outdoor_space, den_or_office, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, washer_dryer, two_or_more_stories, garage_1_or_more, garage_2_or_more, updated_kitchen, big_yard, high_ceiling, vaulted_ceiling, ensuite",
2,1965.0,2589.0,19720.0,5.0,4.0,1.0,999000.0,975000.0,2023-07-19T21:55:02Z,2023-08-23,30327,Atlanta,-84.404276,33.882177,GA,single_family,"carport, central_air, central_heat, city_view, community_security_features, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, view, washer_dryer, swimming_pool, basement, single_story, park",
3,2021.0,1341.0,1525.0,2.0,3.0,3.0,459000.0,450000.0,2023-07-26T14:40:17Z,2023-08-23,30312,Atlanta,-84.36205,33.724363,GA,townhomes,"central_air, community_clubhouse, community_outdoor_space, community_security_features, dishwasher, laundry_room, recreation_facilities, washer_dryer, basement, two_or_more_stories, garage_1_or_more, open_floor_plan, floor_plan, maintenance, shopping",
4,2008.0,2002.0,2004.0,3.0,3.0,1.0,999900.0,985000.0,2023-02-22T10:00:58Z,2023-08-23,30308,Atlanta,-84.383904,33.7778,GA,condos,"central_air, central_heat, city_view, community_clubhouse, community_gym, community_outdoor_space, community_security_features, den_or_office, dishwasher, fireplace, forced_air, game_room, hardwood_floors, laundry_room, recreation_facilities, tennis_court, view, community_swimming_pool, single_story, garage_1_or_more, garage_2_or_more, garage_3_or_more, modern_kitchen, large_kitchen, open_kitchen, floor_plan, theater_room, water_view, shopping",
5,1930.0,1914.0,10916.0,3.0,2.0,1.0,1100000.0,1200000.0,2023-07-21T14:50:50Z,2023-08-23,30309,Atlanta,-84.39095,33.803305,GA,single_family,"central_air, central_heat, city_view, community_clubhouse, community_outdoor_space, den_or_office, dining_room, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, recreation_facilities, view, community_swimming_pool, single_story, updated_kitchen, tennis, shopping",
6,2008.0,2920.0,741.0,3.0,3.0,2.0,258000.0,258000.0,2023-08-04T14:04:52Z,2023-08-22,30331,Atlanta,-84.515221,33.672826,GA,townhomes,"central_air, central_heat, family_room, laundry_room, basement, two_or_more_stories, rental_property, fenced_courtyard, park, groundscare, shopping",
7,2005.0,5817.0,28440.0,7.0,4.0,2.0,775000.0,756000.0,2023-05-01T17:10:22Z,2023-08-22,30331,Atlanta,-84.557189,33.689483,GA,single_family,"central_air, central_heat, city_view, community_outdoor_space, community_tennis_court, dining_room, dishwasher, fireplace, game_room, hardwood_floors, laundry_room, recreation_facilities, tennis_court, view, community_swimming_pool, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, master_bathroom, master_bedroom, shopping",
8,2008.0,1794.0,1786.0,2.0,3.0,1.0,625000.0,614000.0,2023-06-23T20:53:11Z,2023-08-22,30309,Atlanta,-84.391168,33.815091,GA,condos,"central_air, central_heat, city_view, community_gym, community_outdoor_space, community_security_features, den_or_office, dishwasher, hardwood_floors, laundry_room, recreation_facilities, view, community_swimming_pool, single_story, garage_1_or_more, garage_2_or_more, guest_parking, park",
9,1986.0,1280.0,4735.0,2.0,3.0,2.0,229000.0,229000.0,2023-07-15T13:18:44Z,2023-08-22,30349,Atlanta,-84.476039,33.596773,GA,townhomes,"central_air, central_heat, dishwasher, forced_air, laundry_room, washer_dryer, two_or_more_stories, garage_1_or_more, no_hoa, rental_property, new_roof",
10,1959.0,2288.0,17424.0,4.0,3.0,2.0,650000.0,595000.0,2023-07-24T11:08:57Z,2023-08-22,30345,Atlanta,-84.286952,33.853962,GA,single_family,"central_heat, community_security_features, corner_lot, hardwood_floors, basement, two_or_more_stories, garage_1_or_more, updated_kitchen, open_floor_plan, floor_plan, rental_property, big_lot, ensuite, farm, ranch, park, tennis, lake, shopping",
11,1948.0,1800.0,8712.0,4.0,4.0,2.0,720000.0,700000.0,2023-07-27T20:40:43Z,2023-08-22,30317,Atlanta,-84.310807,33.749636,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, dishwasher, forced_air, hardwood_floors, laundry_room, two_or_more_stories, big_yard, efficient, new_roof, park, maintenance",
12,1948.0,2970.0,13068.0,4.0,3.0,1.0,732000.0,710000.0,2023-05-04T20:14:02Z,2023-08-22,30341,Atlanta,-84.310446,33.882147,GA,single_family,"central_air, community_outdoor_space, community_security_features, community_tennis_court, corner_lot, dining_room, dishwasher, energy_efficient, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, washer_dryer, single_story, garage_1_or_more, garage_2_or_more, vaulted_ceiling, solar_system, solar_panels, trails, shopping",
13,1983.0,4320.0,39335.0,5.0,5.0,2.0,825000.0,850000.0,2023-08-09T18:51:09Z,2023-08-22,30350,Atlanta,-84.285249,33.962803,GA,single_family,"central_air, central_heat, community_outdoor_space, community_tennis_court, dining_room, dishwasher, family_room, fireplace, forced_air, hardwood_floors, lake_view, laundry_room, recreation_facilities, tennis_court, view, water_view, community_swimming_pool, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, fenced_yard, park, tennis, trails, views, medicalcare, shopping",
14,2015.0,2253.0,2178.0,3.0,3.0,3.0,685000.0,685000.0,2023-06-01T13:15:12Z,2023-08-22,30324,Atlanta,-84.358919,33.829139,GA,townhomes,"central_air, central_heat, city_view, community_outdoor_space, community_security_features, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, view, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, media_room, ensuite, gated_community, groundscare, security, maintenance, shopping",
15,1910.0,1390.0,7405.0,2.0,1.0,1.0,649000.0,644000.0,2023-07-20T08:05:39Z,2023-08-22,30307,Atlanta,-84.34292,33.764619,GA,single_family,"central_air, central_heat, city_view, community_outdoor_space, dishwasher, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, view, washer_dryer, community_swimming_pool, basement, single_story, garage_1_or_more, garage_2_or_more, modern_kitchen, large_kitchen, basketball_court, high_ceiling, front_porch, tennis_court, big_lot, park, playground, golf_course, tennis, shopping",
16,2006.0,832.0,1263.0,1.0,1.0,1.0,330000.0,312000.0,2023-07-06T18:33:59Z,2023-08-22,30307,Atlanta,-84.346256,33.758019,GA,condos,"central_air, central_heat, city_view, community_security_features, dishwasher, hardwood_floors, laundry_room, view, washer_dryer, single_story, garage_1_or_more, high_ceiling, open_floor_plan, floor_plan, exposed_brick, trails, shopping",
17,2009.0,1520.0,9723.0,3.0,2.0,1.0,330000.0,310000.0,2023-06-28T17:39:49Z,2023-08-22,30331,Atlanta,-84.606893,33.683112,GA,single_family,"central_air, central_heat, city_view, dishwasher, fireplace, laundry_room, view, single_story, garage_1_or_more, garage_2_or_more, floor_plan, farm, ranch",
18,1932.0,2152.0,10019.0,4.0,2.0,2.0,799000.0,730000.0,2023-05-18T13:49:36Z,2023-08-21,30307,Atlanta,-84.321485,33.764372,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, dining_room, dishwasher, energy_efficient, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, washer_dryer, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, updated_kitchen, private_backyard, ensuite, park, lake, fixer_upper",
19,1966.0,4863.0,25047.0,6.0,6.0,3.0,1300000.0,1300000.0,2023-07-11T16:03:06Z,2023-08-21,30339,Atlanta,-84.46433,33.849943,GA,single_family,"carport, central_air, central_heat, community_outdoor_space, community_security_features, cul_de_sac, dishwasher, energy_efficient, fireplace, hardwood_floors, laundry_room, basement, two_or_more_stories, garage_1_or_more, modern_kitchen, gourmet_kitchen, open_kitchen, big_yard, high_ceiling, big_bathroom, ensuite, tennis",
20,1992.0,2102.0,1329.0,3.0,3.0,3.0,565000.0,550000.0,2023-06-08T11:07:30Z,2023-08-21,30339,Atlanta,-84.462847,33.867423,GA,townhomes,"community_outdoor_space, community_security_features, corner_lot, den_or_office, dining_room, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, updated_kitchen, media_room, shopping",
21,1948.0,1810.0,9322.0,3.0,3.0,1.0,484000.0,455000.0,2023-06-09T07:22:20Z,2023-08-21,30318,Atlanta,-84.450607,33.768793,GA,single_family,"central_air, central_heat, city_view, community_outdoor_space, corner_lot, dishwasher, energy_efficient, forced_air, laundry_room, recreation_facilities, view, single_story, efficient, smart_homes, groundscare, shopping",
22,1964.0,2544.0,11326.0,4.0,2.0,2.0,290000.0,290000.0,2023-07-14T06:09:00Z,2023-08-21,30331,Atlanta,-84.501868,33.702273,GA,single_family,"carport, central_air, central_heat, den_or_office, dishwasher, hardwood_floors, laundry_room, basement, two_or_more_stories, views",
23,2006.0,950.0,950.0,1.0,1.0,1.0,345000.0,335000.0,2023-06-22T15:18:05Z,2023-08-21,30308,Atlanta,-84.384647,33.770055,GA,condos,"central_air, city_view, community_gym, community_outdoor_space, community_security_features, dishwasher, forced_air, laundry_room, recreation_facilities, tennis_court, view, washer_dryer, community_swimming_pool, swimming_pool, single_story",
24,1971.0,1324.0,1307.0,2.0,3.0,2.0,300000.0,300000.0,2023-07-13T23:46:14Z,2023-08-21,30328,Sandy Springs,-84.374342,33.943101,GA,townhomes,"central_air, central_heat, city_view, community_clubhouse, community_gym, community_outdoor_space, community_security_features, dishwasher, energy_efficient, family_room, laundry_room, recreation_facilities, tennis_court, view, washer_dryer, community_swimming_pool, two_or_more_stories, dual_master_bedroom, master_bedroom, low_hoa, ensuite, gated_community, clubhouse, park, hoa, security, maintenance, shopping",
25,2019.0,1500.0,871.0,3.0,3.0,2.0,300000.0,288000.0,2023-07-13T02:05:07Z,2023-08-21,30349,Atlanta,-84.474382,33.587293,GA,townhomes,"central_air, central_heat, city_view, community_outdoor_space, community_security_features, energy_efficient, fireplace, garage_1_or_more, garage_2_or_more, laundry_room, recreation_facilities, two_or_more_stories, view",
26,1994.0,949.0,950.0,2.0,2.0,1.0,219000.0,225000.0,2023-06-07T15:50:19Z,2023-08-21,30324,Atlanta,-84.353381,33.82732,GA,condos,"central_air, central_heat, city_view, community_gym, community_security_features, dishwasher, hardwood_floors, laundry_room, recreation_facilities, view, community_swimming_pool, swimming_pool, single_story, granite_kitchen, gated_community, shopping",
27,1935.0,1258.0,13068.0,3.0,1.0,1.0,395000.0,380000.0,2023-06-22T13:09:32Z,2023-08-21,30316,Atlanta,-84.329599,33.734021,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, dishwasher, hardwood_floors, laundry_room, washer_dryer, single_story, garage_1_or_more, garage_2_or_more, updated_kitchen, front_porch, rental_property",
28,1972.0,1611.0,22128.0,3.0,3.0,2.0,294900.0,294900.0,2023-06-26T18:51:29Z,2023-08-21,30349,Atlanta,-84.464728,33.591158,GA,single_family,"central_air, community_outdoor_space, community_security_features, dishwasher, laundry_room, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, no_hoa",
29,2009.0,1801.0,1799.0,2.0,3.0,1.0,614900.0,590000.0,2023-07-26T02:52:39Z,2023-08-21,30363,Atlanta,-84.397562,33.790848,GA,condos,"central_air, city_view, community_gym, community_outdoor_space, community_security_features, den_or_office, dishwasher, hardwood_floors, laundry_room, recreation_facilities, tennis_court, view, washer_dryer, community_swimming_pool, swimming_pool, single_story, garage_1_or_more, garage_2_or_more, views, shopping",
30,1949.0,1861.0,13068.0,3.0,2.0,1.0,599900.0,599900.0,2023-07-20T14:05:40Z,2023-08-21,30317,Atlanta,-84.291541,33.750356,GA,single_family,"central_air, community_outdoor_space, dishwasher, energy_efficient, forced_air, hardwood_floors, laundry_room, recreation_facilities, washer_dryer, basement, single_story, big_yard, farm, ranch, lake, shopping",
31,1979.0,1320.0,1307.0,2.0,3.0,2.0,325000.0,315000.0,2023-07-26T12:20:41Z,2023-08-21,30318,Atlanta,-84.441523,33.823686,GA,condos,"central_air, community_clubhouse, community_security_features, community_tennis_court, dishwasher, forced_air, laundry_room, recreation_facilities, tennis_court, washer_dryer, community_swimming_pool, two_or_more_stories, floor_plan, ensuite, clubhouse, park, playground, tennis, trails, shopping",
32,2004.0,1056.0,653.0,1.0,2.0,2.0,339000.0,346000.0,2023-08-03T23:47:57Z,2023-08-21,30307,Atlanta,-84.332683,33.76082,GA,condos,"central_air, city_view, community_gym, community_security_features, dishwasher, forced_air, hardwood_floors, laundry_room, recreation_facilities, tennis_court, view, washer_dryer, water_view, community_swimming_pool, swimming_pool, two_or_more_stories, modern_kitchen, kitchen_island, large_kitchen, high_ceiling, big_bathroom, gated_community",
33,1961.0,2143.0,21780.0,5.0,3.0,2.0,499900.0,485000.0,2023-07-14T19:34:12Z,2023-08-21,30340,Atlanta,-84.258089,33.906581,GA,single_family,"central_air, city_view, community_outdoor_space, den_or_office, forced_air, hardwood_floors, laundry_room, view, two_or_more_stories, updated_kitchen, private_bathroom, investment_opportunity, new_roof, groundscare",
34,2008.0,1756.0,1755.0,2.0,3.0,2.0,265000.0,265000.0,2023-07-05T21:16:47Z,2023-08-21,30331,Atlanta,-84.516007,33.659187,GA,townhomes,"central_air, community_outdoor_space, community_security_features, dishwasher, energy_efficient, forced_air, hardwood_floors, laundry_room, two_or_more_stories, garage_1_or_more, floor_plan, ensuite, park, golf_course, tennis, trails, lake, shopping",
35,1964.0,1084.0,871.0,2.0,2.0,1.0,339900.0,345000.0,2023-07-14T17:51:53Z,2023-08-21,30309,Atlanta,-84.395286,33.815651,GA,condos,"central_air, central_heat, community_outdoor_space, community_security_features, den_or_office, family_room, laundry_room, recreation_facilities, tennis_court, community_swimming_pool, single_story, medicalcare",
36,1983.0,1450.0,1451.0,2.0,2.0,2.0,268000.0,250000.0,2023-03-01T16:12:26Z,2023-08-21,30324,Atlanta,-84.354519,33.830926,GA,condos,"central_air, central_heat, city_view, community_clubhouse, community_gym, community_outdoor_space, community_security_features, dishwasher, family_room, fireplace, laundry_room, recreation_facilities, tennis_court, view, community_swimming_pool, two_or_more_stories, floor_plan, ensuite, gated_community, clubhouse, trails, security, shopping",
37,1930.0,1460.0,4848.0,2.0,2.0,1.0,799000.0,815000.0,2023-07-26T13:03:00Z,2023-08-21,30306,Atlanta,-84.349143,33.776511,GA,single_family,"central_air, community_outdoor_space, dishwasher, fireplace, hardwood_floors, laundry_room, recreation_facilities, basement, single_story, garage_1_or_more, park, shopping",
38,1920.0,1618.0,6490.0,3.0,2.0,1.0,789000.0,789000.0,2023-07-20T13:49:26Z,2023-08-21,30312,Atlanta,-84.369226,33.75707,GA,single_family,"central_air, community_outdoor_space, community_security_features, dishwasher, fireplace, hardwood_floors, laundry_room, recreation_facilities, washer_dryer, single_story, modern_kitchen, open_kitchen, fenced_yard, floor_plan, front_porch, furniture",
39,1923.0,623.0,610.0,1.0,1.0,2.0,274900.0,272000.0,2023-05-22T18:40:10Z,2023-08-21,30309,Atlanta,-84.379384,33.784628,GA,condos,"central_air, central_heat, city_view, community_outdoor_space, community_security_features, dishwasher, hardwood_floors, laundry_room, view, two_or_more_stories, park",
40,1976.0,,1006.0,,,2.0,130000.0,125000.0,2023-07-10T20:55:26Z,2023-08-21,30311,Atlanta,-84.476954,33.751272,GA,multi_family,"central_air, central_heat, recreation_facilities, two_or_more_stories, rental_property, hoa",
41,1950.0,,29621.0,3.0,3.0,2.0,369900.0,385230.0,2023-07-28T03:48:01Z,2023-08-21,30311,Atlanta,-84.464152,33.73044,GA,single_family,"central_heat, city_view, dishwasher, fireplace, laundry_room, recreation_facilities, view, basement, two_or_more_stories, garage_1_or_more, high_ceiling, ensuite, shopping",
42,1968.0,1363.0,741.0,2.0,3.0,2.0,250000.0,255000.0,2023-07-11T13:33:01Z,2023-08-21,30345,Atlanta,-84.289966,33.860754,GA,condos,"central_air, central_heat, community_clubhouse, community_gym, community_outdoor_space, community_security_features, dishwasher, energy_efficient, family_room, laundry_room, recreation_facilities, community_swimming_pool, swimming_pool, two_or_more_stories, master_bedroom, open_floor_plan, floor_plan, gated_community, security, shopping",
43,2006.0,3933.0,8712.0,5.0,4.0,3.0,874900.0,874900.0,2023-04-19T20:23:42Z,2023-08-21,30317,Atlanta,-84.346049,33.74839,GA,single_family,"central_air, central_heat, community_outdoor_space, community_tennis_court, dishwasher, energy_efficient, family_room, fireplace, hardwood_floors, laundry_room, recreation_facilities, washer_dryer, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, fenced_yard, high_ceiling, rental_property, trails, shopping",
44,1999.0,1125.0,1124.0,2.0,2.0,1.0,425000.0,415000.0,2023-06-16T19:53:48Z,2023-08-21,30305,Atlanta,-84.378567,33.843801,GA,condos,"central_air, central_heat, city_view, community_gym, community_outdoor_space, community_security_features, community_spa_or_hot_tub, dishwasher, energy_efficient, hardwood_floors, laundry_room, recreation_facilities, view, single_story, community_swimming_pool, high_ceiling, open_floor_plan, floor_plan, park, shopping",
45,2004.0,775.0,784.0,1.0,1.0,1.0,205000.0,209000.0,2023-06-28T05:10:41Z,2023-08-21,30318,Atlanta,-84.424096,33.810071,GA,condos,"central_air, central_heat, community_clubhouse, community_gym, community_outdoor_space, community_security_features, forced_air, laundry_room, recreation_facilities, tennis_court, washer_dryer, community_swimming_pool, single_story, golf_course, volleyball, shopping",
46,1951.0,1350.0,13068.0,4.0,3.0,2.0,590000.0,590000.0,2023-06-16T07:21:49Z,2023-08-21,30317,Atlanta,-84.287815,33.750745,GA,single_family,"central_air, community_outdoor_space, community_security_features, dishwasher, energy_efficient, laundry_room, two_or_more_stories, modern_kitchen, large_kitchen, gourmet_kitchen, private_backyard, fenced_yard, master_suite, front_porch, golf_course, lake, shopping",
47,1951.0,2090.0,13068.0,3.0,3.0,2.0,779000.0,779000.0,2023-07-20T18:16:15Z,2023-08-21,30306,Atlanta,-84.342491,33.787403,GA,single_family,"central_heat, community_outdoor_space, community_security_features, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, basement, two_or_more_stories, farm, ranch, park, shopping",
48,1959.0,2341.0,17424.0,4.0,3.0,2.0,629000.0,630500.0,2023-06-23T17:27:09Z,2023-08-21,30345,Atlanta,-84.268731,33.842602,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, den_or_office, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, two_or_more_stories, garage_1_or_more, updated_kitchen, water_view, tennis",
49,1941.0,,52272.0,5.0,5.0,2.0,1850000.0,1675000.0,2023-07-17T12:38:55Z,2023-08-21,30342,Atlanta,-84.389732,33.859728,GA,land,"community_outdoor_space, den_or_office, family_room, two_or_more_stories, big_lot, shopping",
50,1979.0,1320.0,1307.0,2.0,3.0,2.0,399900.0,399900.0,2023-08-02T15:53:59Z,2023-08-21,30318,Atlanta,-84.441523,33.823686,GA,townhomes,"central_air, city_view, community_clubhouse, community_gym, community_outdoor_space, community_security_features, community_tennis_court, cul_de_sac, dishwasher, hardwood_floors, laundry_room, recreation_facilities, tennis_court, view, community_swimming_pool, two_or_more_stories, ensuite, gated_community, new_roof, clubhouse, park, playground, tennis, trails, security, shopping",
51,1998.0,1755.0,4356.0,3.0,3.0,2.0,290000.0,294000.0,2023-06-28T17:11:47Z,2023-08-19,30316,Atlanta,-84.302755,33.689704,GA,single_family,"central_air, central_heat, community_outdoor_space, dishwasher, family_room, fireplace, forced_air, laundry_room, recreation_facilities, two_or_more_stories, garage_1_or_more",
52,1955.0,2450.0,1307.0,5.0,3.0,2.0,439900.0,415000.0,2023-06-03T13:33:50Z,2023-08-18,30310,Atlanta,-84.429046,33.732541,GA,single_family,"central_air, central_heat, city_view, community_outdoor_space, dishwasher, hardwood_floors, laundry_room, view, two_or_more_stories, garage_1_or_more, vaulted_ceiling, open_floor_plan, floor_plan, park",
53,2019.0,3718.0,10019.0,4.0,3.0,3.0,560000.0,560000.0,2023-07-05T21:16:47Z,2023-08-18,30331,Atlanta,-84.541795,33.655502,GA,single_family,"central_air, community_outdoor_space, community_tennis_court, dishwasher, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, community_swimming_pool, basement, two_or_more_stories, garage_1_or_more, jack_and_jill_bathroom, floor_plan, rental_property",
54,2002.0,668.0,653.0,1.0,1.0,1.0,274900.0,274900.0,2023-07-13T23:07:59Z,2023-08-18,30309,Atlanta,-84.38346,33.780409,GA,condos,"central_air, central_heat, city_view, community_clubhouse, community_gym, community_outdoor_space, community_security_features, community_swimming_pool, dishwasher, garage_1_or_more, laundry_room, recreation_facilities, single_story, tennis_court, view",
55,1964.0,2974.0,21780.0,4.0,4.0,2.0,950000.0,925000.0,2023-07-06T16:53:12Z,2023-08-18,30345,Atlanta,-84.288543,33.840798,GA,single_family,"basement, central_air, community_outdoor_space, dishwasher, family_room, fireplace, garage_1_or_more, garage_2_or_more, hardwood_floors, laundry_room, recreation_facilities, two_or_more_stories",
56,2006.0,2970.0,,3.0,3.0,1.0,1100000.0,1065000.0,2023-05-05T12:57:17Z,2023-08-18,30339,Atlanta,-84.467505,33.869385,GA,condos,"central_air, city_view, community_clubhouse, community_gym, community_outdoor_space, community_security_features, community_spa_or_hot_tub, den_or_office, dishwasher, fireplace, forced_air, hardwood_floors, hill_or_mountain_view, laundry_room, recreation_facilities, view, washer_dryer, community_swimming_pool, single_story, garage_1_or_more, garage_2_or_more, basement, granite_kitchen, floor_plan, master_suite, wine_cellar, clubhouse, golf_course, trails, views, maintenance, shopping",
57,1962.0,4694.0,18369.0,4.0,3.0,2.0,1250000.0,1150000.0,2023-06-09T15:01:34Z,2023-08-18,30327,Atlanta,-84.434062,33.8213,GA,single_family,"carport, central_air, central_heat, city_view, community_clubhouse, community_outdoor_space, community_security_features, community_tennis_court, den_or_office, dining_room, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, view, community_swimming_pool, two_or_more_stories, garage_1_or_more, guest_house, clubhouse, playground, tennis, shopping",
58,1967.0,1728.0,436.0,2.0,2.0,2.0,169999.0,165000.0,2023-05-15T07:58:55Z,2023-08-18,30311,Atlanta,-84.474292,33.702038,GA,townhomes,"central_air, central_heat, city_view, community_outdoor_space, community_security_features, dishwasher, laundry_room, recreation_facilities, view, two_or_more_stories, updated_kitchen, gated_community, security",
59,1947.0,2084.0,8712.0,3.0,3.0,2.0,639900.0,645000.0,2023-07-20T16:53:49Z,2023-08-18,30317,Atlanta,-84.340419,33.752824,GA,single_family,"central_air, central_heat, city_view, community_outdoor_space, den_or_office, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, view, two_or_more_stories, open_floor_plan, floor_plan, ensuite, trails",
60,2007.0,1974.0,6268.0,3.0,3.0,2.0,299000.0,299000.0,2023-06-20T00:06:00Z,2023-08-18,30349,Atlanta,-84.445788,33.603009,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, dining_room, dishwasher, family_room, fireplace, laundry_room, washer_dryer, two_or_more_stories, garage_1_or_more, garage_2_or_more, community_swimming_pool, fenced_yard, master_bedroom, ensuite",
61,2008.0,1203.0,1220.0,2.0,2.0,1.0,394900.0,394000.0,2023-05-02T18:00:06Z,2023-08-18,30326,Atlanta,-84.35266,33.849124,GA,condos,"central_air, central_heat, community_clubhouse, community_gym, community_outdoor_space, community_security_features, community_swimming_pool, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, recreation_facilities, single_story, tennis_court",
62,1952.0,903.0,7501.0,2.0,1.0,1.0,287900.0,275000.0,2023-07-18T20:36:29Z,2023-08-18,30315,Atlanta,-84.366358,33.715599,GA,single_family,"carport, central_air, central_heat, community_security_features, dishwasher, energy_efficient, forced_air, hardwood_floors, laundry_room, single_story, floor_plan, rental_property, shopping",
63,2006.0,1512.0,1481.0,2.0,3.0,3.0,600000.0,600000.0,2023-07-07T15:52:09Z,2023-08-18,30309,Atlanta,-84.388118,33.780066,GA,condos,"central_air, central_heat, city_view, community_clubhouse, community_gym, community_outdoor_space, community_security_features, den_or_office, dishwasher, hardwood_floors, laundry_room, recreation_facilities, tennis_court, view, washer_dryer, community_swimming_pool, swimming_pool, two_or_more_stories, garage_1_or_more, garage_2_or_more, granite_kitchen, master_bathroom, floor_plan, elevator, shopping",
64,,,8233.0,,0.0,,350000.0,350000.0,2023-07-19T20:58:05Z,2023-08-18,30312,Atlanta,-84.368156,33.726879,GA,land,"city_view, recreation_facilities, view, water_view, community_swimming_pool, trails",
65,2005.0,3141.0,10454.0,4.0,3.0,2.0,359900.0,359000.0,2023-05-05T18:18:28Z,2023-08-18,30349,Atlanta,-84.602527,33.635907,GA,single_family,"community_clubhouse, community_outdoor_space, community_security_features, den_or_office, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, washer_dryer, community_swimming_pool, two_or_more_stories, garage_1_or_more, garage_2_or_more, modern_kitchen, large_kitchen, open_floor_plan, floor_plan, playground, shopping",
66,1963.0,656.0,658.0,1.0,1.0,1.0,180000.0,178000.0,2023-06-23T18:23:03Z,2023-08-18,30305,Atlanta,-84.382468,33.850728,GA,condos,"central_air, city_view, community_outdoor_space, community_security_features, dishwasher, fireplace, laundry_room, recreation_facilities, tennis_court, view, washer_dryer, community_swimming_pool, single_story, gated_community, security",
67,2005.0,2572.0,10498.0,4.0,3.0,2.0,360000.0,360000.0,2023-04-29T22:10:52Z,2023-08-18,30349,Atlanta,-84.603708,33.638087,GA,single_family,"central_air, central_heat, community_clubhouse, community_outdoor_space, community_security_features, dishwasher, family_room, fireplace, laundry_room, recreation_facilities, tennis_court, washer_dryer, two_or_more_stories, garage_1_or_more, modern_kitchen, kitchen_island, open_kitchen, big_yard",
68,1971.0,1040.0,1045.0,2.0,2.0,1.0,269900.0,273000.0,2023-07-13T14:12:08Z,2023-08-18,30328,Sandy Springs,-84.374342,33.943101,GA,condos,"central_air, central_heat, community_clubhouse, community_gym, community_outdoor_space, community_security_features, community_tennis_court, dishwasher, forced_air, hardwood_floors, laundry_room, recreation_facilities, tennis_court, community_swimming_pool, single_story, granite_kitchen, master_suite, gated_community, clubhouse, park, tennis, trails, security, shopping",
69,2016.0,2240.0,1742.0,4.0,4.0,3.0,760000.0,740000.0,2023-06-13T13:57:06Z,2023-08-18,30324,Atlanta,-84.363674,33.811971,GA,single_family,"central_air, central_heat, city_view, community_outdoor_space, dishwasher, hardwood_floors, laundry_room, recreation_facilities, tennis_court, view, community_swimming_pool, two_or_more_stories, garage_1_or_more, high_ceiling, private_courtyard, park, groundscare, shopping",
70,1947.0,3297.0,8712.0,5.0,4.0,3.0,660000.0,663103.0,2023-05-22T15:51:22Z,2023-08-18,30316,Atlanta,-84.342846,33.746608,GA,single_family,"central_air, community_outdoor_space, den_or_office, dishwasher, family_room, fireplace, laundry_room, basement, two_or_more_stories",
71,1981.0,5833.0,17990.0,6.0,4.0,2.0,899000.0,875000.0,2023-05-17T20:43:46Z,2023-08-18,30328,Atlanta,-84.399686,33.942196,GA,single_family,"central_air, community_outdoor_space, community_security_features, den_or_office, dining_room, dishwasher, family_room, fireplace, forced_air, game_room, hardwood_floors, laundry_room, recreation_facilities, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, two_kitchen, modern_kitchen, coffer_ceiling, park, shopping",
